County,Population,deaths2018,fips
"Ziebach County, SD",2742,NA,46137
"Anderson County, TN",76482,702.9190384,47001
"Bedford County, TN",49038,498.6708547,47003
"Benton County, TN",16184,181.8330123,47005
"Bledsoe County, TN",14755,113.4202587,47007
"Blount County, TN",131349,1091.687511,47009
"Bradley County, TN",106727,921.7018429,47011
"Campbell County, TN",39583,452.6412369,47013
"Cannon County, TN",14462,142.2504013,47015
"Carroll County, TN",28020,300.5720344,47017
"Carter County, TN",56351,509.4599992,47019
"Cheatham County, TN",40439,412.3913953,47021
"Chester County, TN",17276,149.2679224,47023
"Claiborne County, TN",31756,338.9966761,47025
"Clay County, TN",7717,75.78320365,47027
"Cocke County, TN",35774,404.9835021,47029
"Coffee County, TN",55700,568.9762427,47031
"Crockett County, TN",14328,148.1378129,47033
"Cumberland County, TN",59673,487.4512329,47035
"Davidson County, TN",692587,5791.534851,47037
"Decatur County, TN",11706,109.2420308,47039
"DeKalb County, TN",20138,202.1929039,47041
"Dickson County, TN",53446,523.1859226,47043
"Dyer County, TN",37320,400.3021572,47045
"Fayette County, TN",40507,316.1517341,47047
"Fentress County, TN",18217,193.1997863,47049
"Franklin County, TN",41890,372.7622144,47051
"Gibson County, TN",49045,515.546163,47053
"Giles County, TN",29503,282.1184054,47055
"Grainger County, TN",23145,236.8478769,47057
"Greene County, TN",69087,694.6184303,47059
"Grundy County, TN",13346,158.572145,47061
"Hamblen County, TN",64569,600.4471474,47063
"Hamilton County, TN",364286,2935.756588,47065
"Hancock County, TN",6549,79.38359435,47067
"Hardeman County, TN",25220,254.3995203,47069
"Hardin County, TN",25776,265.442279,47071
"Hawkins County, TN",56530,527.1217108,47073
